trip_id,arrival_time,departure_time,stop_sequence,stop_id
029B_1,8:54:40,8:54:40,3,S81
029B_1,8:57:03,8:57:03,4,T21
030A_1,8:25:04,8:25:04,1,T21
030A_1,8:45:42,8:45:42,2,S23
030A_1,8:47:06,8:47:06,3,S24
030A_1,8:48:45,8:48:45,4,S25
030A_1,8:49:28,8:49:28,5,S26
030A_1,8:51:02,8:51:02,6,S27
030A_1,8:53:07,8:53:07,7,T28
030B_1,8:58:41,8:58:41,1,T28
030B_1,9:26:23,9:26:23,2,S31
030B_1,9:27:00,9:27:00,3,S32
030B_1,9:28:01,9:28:01,4,S33
030B_1,9:29:24,9:29:24,5,S34
030B_1,9:31:05,9:31:05,6,S35
030B_1,9:36:59,9:36:59,7,T37
031A_1,10:31:51,10:31:51,1,T0
031A_1,10:50:54,10:50:54,2,S3813
031A_1,10:54:35,10:54:35,3,S5649
031A_1,10:56:04,10:56:04,4,S5650
031A_1,11:00:14,11:00:14,5,S5652
031A_1,11:01:58,11:01:58,6,S2879
031A_1,11:06:19,11:06:19,7,T2880
031B_1,11:32:27,11:32:27,1,S684
031B_1,11:33:28,11:33:28,2,S5658
031B_1,11:34:38,11:34:38,3,S5659
035A_1,12:46:14,12:46:14,1,T0
035A_1,13:17:02,13:17:02,2,S5663
035A_1,13:18:59,13:18:59,3,S5664
035A_1,13:20:13,13:20:13,4,S5665
035A_1,13:26:32,13:26:32,5,S5666
035A_1,13:29:21,13:29:21,6,S5667
035A_1,13:32:31,13:32:31,7,T5668
035B_1,11:36:27,11:36:27,1,T728
035B_1,13:37:18,13:37:18,2,T5668
035B_1,14:02:03,14:02:03,3,S5672
035B_1,14:08:32,14:08:32,4,S5673
035B_1,14:13:46,14:13:46,5,S5674
035B_1,14:15:34,14:15:34,6,S5675
035B_1,14:17:38,14:17:38,7,S5677
035B_1,14:21:37,14:21:37,8,S5678
035B_1,14:23:11,14:23:11,9,S1695
035B_1,14:36:28,14:36:28,10,S5680
035B_1,14:51:21,14:51:21,11,S3177
035B_1,14:52:57,14:52:57,12,S5682
035B_1,14:55:46,14:55:46,13,S5683
035B_1,14:59:07,14:59:07,14,T0
036A_1,9:43:27,9:43:27,1,T0
036A_1,10:00:17,10:00:17,2,S40
036A_1,10:02:21,10:02:21,3,S41
036A_1,10:04:02,10:04:02,4,S42
036A_1,10:06:51,10:06:51,5,S43
036A_1,10:09:14,10:09:14,6,S44
036A_1,10:11:43,10:11:43,7,S46
036A_1,10:12:43,10:12:43,8,S47
036A_1,10:13:55,10:13:55,9,S49
036A_1,10:18:29,10:18:29,10,S50
036A_1,10:19:19,10:19:19,11,S51
036A_1,10:28:02,10:28:02,12,S52
